corridor,poi_name,poi_type,latitude,longitude
Koramangala - Sony World Junction,Nexus Mall Koramangala,Mall,12.93459,77.61124
Koramangala - Sony World Junction,St Johns Medical College Hospital,Hospital,12.9313,77.6165
Koramangala - Sony World Junction,Koramangala Indoor Stadium,Stadium,12.94351,77.6228
Koramangala - Sony World Junction,Koramangala Police Station,Police Station,12.9411,77.62141
Koramangala - Sony World Junction,BDA Complex Koramangala,Commercial Complex,12.931007,77.622221
Koramangala - Sarjapur Road,Agara Lake,Park/Lake,12.922611,77.641806
Koramangala - Sarjapur Road,Madiwala Lake,Park/Lake,12.90623,77.614392
Koramangala - Sarjapur Road,NIFT Bengaluru,Educational Institute,12.91236,77.652314
Koramangala - Sarjapur Road,HSR BDA Complex Sector 6,Commercial Complex,12.913938,77.63747
Hebbal - Hebbal Flyover,Esteem Mall,Mall,13.04647,77.5963
Hebbal - Hebbal Flyover,Baptist Hospital,Hospital,13.03955,77.58994
Hebbal - Hebbal Flyover,Lumbini Gardens,Amusement Park,13.05217,77.60142
Hebbal - Hebbal Flyover,Hebbal Lake Park,Park/Lake,13.0393,77.5967
Hebbal - Ballari Road,Manyata Tech Park,Tech Park,13.04997,77.62088
Hebbal - Ballari Road,Kirloskar Business Park,Tech Park,13.04598,77.59123
Hebbal - Ballari Road,Indian Institute of Science (IISc),Educational Institute,13.02143,77.5671
Hebbal - Ballari Road,Mekhri Circle Junction,Junction/Landmark,13.01387,77.58492
Whitefield - Marathahalli Bridge,Innovative Multiplex Mall,Mall,12.95584,77.69912
Whitefield - Marathahalli Bridge,Sakra World Hospital,Hospital,12.93016,77.68441
Whitefield - Marathahalli Bridge,RMZ Ecospace,Tech Park,12.92954,77.68739
Whitefield - Marathahalli Bridge,Marathahalli Bridge Junction,Junction/Landmark,12.95683,77.70589
Whitefield - Itpl Main Road,ITPL Tech Park,Tech Park,12.98202,77.73794
Whitefield - Itpl Main Road,Phoenix Marketcity Whitefield,Mall,12.99618,77.69641
Whitefield - Itpl Main Road,Brigade Tech Park,Tech Park,12.97845,77.72567
Whitefield - Itpl Main Road,Sri Sathya Sai Super Speciality Hospital,Hospital,12.96344,77.72263
Electronic City - Hosur Road,Electronic City Phase 1,Tech Park,12.8399,77.677
Electronic City - Hosur Road,Electronic City Phase 2,Tech Park,12.81765,77.68476
Electronic City - Hosur Road,Infosys Campus Electronic City,Tech Park,12.8352,77.6663
Electronic City - Hosur Road,Wipro Campus Electronic City,Tech Park,12.8459,77.6625
Electronic City - Hosur Road,Tech Mahindra Campus,Tech Park,12.8406,77.6632
Electronic City - Hosur Road,Narayana Health City,Hospital,12.8213,77.6758
Electronic City - Hosur Road,NeoMall Electronic City,Mall,12.8417,77.6762
Electronic City - Hosur Road,Velankani Tech Park,Tech Park,12.8394,77.6716
M.G. Road - Trinity Circle,Trinity Metro Station,Metro Station,12.97345,77.61906
M.G. Road - Trinity Circle,Ulsoor Lake,Park/Lake,12.97715,77.62045
M.G. Road - Trinity Circle,Taj MG Road Bengaluru,Hotel,12.97388,77.62098
M.G. Road - Trinity Circle,Manipal Hospital Ulsoor,Hospital,12.97312,77.62189
M.G. Road - Trinity Circle,Garuda Mall,Mall,12.97168,77.61199
M.G. Road - Anil Kumble Circle,UB City Mall,Mall,12.97189,77.59623
M.G. Road - Anil Kumble Circle,Cubbon Park,Park,12.97635,77.59292
M.G. Road - Anil Kumble Circle,Chinnaswamy Stadium,Stadium,12.9788,77.59965
M.G. Road - Anil Kumble Circle,Vidhana Soudha,Government Building,12.97969,77.59068
Jayanagar - Jayanagar 4Th Block,Jayanagar Shopping Complex,Mall/Commercial,12.92782,77.58325
Jayanagar - Jayanagar 4Th Block,Sarakki Market,Market,12.92972,77.58014
Jayanagar - Jayanagar 4Th Block,National College Metro Station,Metro Station,12.93154,77.58002
Jayanagar - Jayanagar 4Th Block,South End Circle Metro Station,Metro Station,12.93723,77.58036
Jayanagar - South End Circle,South End Circle Junction,Junction/Landmark,12.93705,77.58008
Jayanagar - South End Circle,Jawaharlal Nehru Planetarium,Science Museum,12.98561,77.58814
Jayanagar - South End Circle,Basavanagudi Bull Temple,Religious Site,12.94388,77.57396
Jayanagar - South End Circle,RV Road Metro Station,Metro Station,12.93494,77.57863
